IDPatologia,NomePatologia,Tipologia
1,Diabete mellito tipo 2 scompensato cronico con complicanze macrovascolari e microvascolari avanzate,Cronica
2,Broncopneumopatia cronica ostruttiva (BPCO) stadio GOLD 4 con insufficienza respiratoria cronica,Cronica
3,Insufficienza cardiaca cronica stadio D (NYHA IV) refrattaria alla terapia,Cronica
4,Insufficienza renale cronica terminale (stadio 5) in dialisi,Cronica
5,Epatite cronica attiva con cirrosi epatica scompensata,Cronica
6,Artrite reumatoide erosiva severa con deformità articolari multiple,Cronica
7,Sclerosi multipla progressiva secondaria con grave disabilità motoria e cognitiva,Cronica
8,Morbo di Parkinson in fase avanzata con grave rigidità bradicinesia e instabilità posturale,Cronica
9,Morbo di Alzheimer in fase severa con completa dipendenza funzionale,Cronica
10,Fibrosi cistica con grave compromissione polmonare e insufficienza pancreatica,Cronica
11,Lupus eritematoso sistemico con coinvolgimento multiorgano attivo cronico,Cronica
12,Sclerodermia sistemica con fibrosi polmonare e coinvolgimento cardiaco,Cronica
13,Spondilite anchilosante in fase avanzata con anchilosi spinale completa,Cronica
14,Retinite pigmentosa avanzata con cecità,Cronica
15,Neuropatia diabetica periferica severa con dolore cronico intrattabile,Cronica
16,Ipertensione arteriosa polmonare cronica severa,Cronica
17,Colite ulcerosa cronica refrattaria alla terapia medica,Cronica
18,Morbo di Crohn cronico con stenosi intestinali multiple e malassorbimento,Cronica
19,Glaucoma cronico ad angolo chiuso con perdita completa della vista,Cronica
20,Osteoartrite severa poliarticolare con limitazione funzionale grave,Cronica
21,Asma bronchiale cronico grave non controllato,Cronica
22,Ipertensione arteriosa essenziale stadio 3 resistente alla terapia,Cronica
23,Dislipidemia severa cronica con aterosclerosi avanzata,Cronica
24,Gotta cronica tofacea con artrite gottosa ricorrente,Cronica
25,Celiachia refrattaria con malassorbimento cronico,Cronica
26,Tiroidite di Hashimoto cronica con ipotiroidismo severo,Cronica
27,Ipertiroidismo cronico non controllato con complicanze cardiache,Cronica
28,Anemia cronica severa (es. talassemia major o anemia falciforme),Cronica
29,Trombocitopenia immune cronica refrattaria,Cronica
30,Vasculite sistemica cronica con coinvolgimento d'organo,Cronica
31,Sarcoidosi cronica in stadio avanzato con fibrosi polmonare,Cronica
32,Amiloidosi sistemica cronica con coinvolgimento cardiaco e renale,Cronica
33,Iperparatiroidismo cronico con ipercalcemia severa e danno renale,Cronica
34,Malattia di Addison cronica con crisi surrenaliche ricorrenti,Cronica
35,Sindrome di Cushing cronica non controllata,Cronica
36,Acromegalia cronica con complicanze cardiovascolari e metaboliche,Cronica
37,Diabete insipido cronico centrale o nefrogenico non controllato,Cronica
38,Ipopituitarismo cronico severo con deficit ormonali multipli,Cronica
39,Sindrome dell'ovaio policistico (PCOS) cronica con complicanze metaboliche e infertilità,Cronica
40,Endometriosi severa cronica con dolore pelvico cronico intrattabile,Cronica
41,Fibromialgia cronica con dolore diffuso e astenia severa,Cronica
42,Sindrome da stanchezza cronica (CFS/ME) severa con invalidità funzionale,Cronica
43,Emicrania cronica con cefalea quotidiana intrattabile,Cronica
44,Nevralgia del trigemino cronica severa refrattaria alla terapia,Cronica
45,Sindrome del tunnel carpale bilaterale cronica severa,Cronica
46,Sindrome del colon irritabile (IBS) cronica severa con dolore addominale e alterazioni dell'alvo invalidanti,Cronica
47,Diverticolite cronica ricorrente con complicanze,Cronica
48,Reflusso gastroesofageo cronico (GERD) severo con esofagite erosiva e complicanze,Cronica
49,Ulcera peptica cronica refrattaria con complicanze emorragiche o perforative ricorrenti,Cronica
50,Pancreatite cronica con dolore addominale cronico e insufficienza pancreatica esocrina ed endocrina,Cronica
51,Colecistite cronica con coliche biliari ricorrenti e complicanze,Cronica
52,Epatite autoimmune cronica non controllata,Cronica
53,Colangite biliare primitiva (CBP) in fase avanzata con cirrosi biliare,Cronica
54,Sclerosi laterale primitiva (SLP) con progressiva disabilità motoria,Cronica
55,Atassia di Friedreich con progressiva incoordinazione motoria e disabilità,Cronica
56,Corea di Huntington con progressivi disturbi motori  cognitivi e psichiatrici,Cronica
57,Distonia generalizzata cronica severa con contrazioni muscolari invalidanti,Cronica
58,Epilessia focale o generalizzata cronica refrattaria alla terapia farmacologica,Cronica
59,Idrocefalo cronico normoteso con demenza e disturbi della deambulazione e incontinenza urinaria,Cronica
60,Siringomielia cronica progressiva con deficit neurologici,Cronica
61,Miopatie infiammatorie croniche (es. polimiosite o dermatomiosite) con progressiva debolezza muscolare,Cronica
62,Polineuropatia cronica demielinizzante infiammatoria (CIDP) con progressiva debolezza e disturbi sensitivi,Cronica
63,Sindrome delle gambe senza riposo (RLS) cronica severa con insonnia invalidante,Cronica
64,Narcolessia cronica con cataplessia e sonnolenza diurna eccessiva invalidante,Cronica
65,Apnea ostruttiva del sonno (OSA) cronica severa con complicanze cardiovascolari e metaboliche,Cronica
66,Enfisema polmonare cronico severo con dispnea invalidante,Cronica
67,Fibrosi polmonare idiopatica (IPF) con progressiva insufficienza respiratoria,Cronica
68,Sarcoidosi polmonare cronica in stadio avanzato con fibrosi,Cronica
69,Ipertensione polmonare tromboembolica cronica (CTEPH) con progressiva dispnea e insufficienza cardiaca destra,Cronica
70,Linfangioleiomiomatosi (LAM) con progressiva distruzione del tessuto polmonare,Cronica
71,Sindrome di Sjögren cronica severa con secchezza oculare e orale invalidanti e coinvolgimento sistemico,Cronica
72,Mastocitosi sistemica cronica severa con sintomi sistemici invalidanti,Cronica
73,Porfiria acuta intermittente cronica con attacchi ricorrenti severi,Cronica
74,Malattia di Behçet cronica con manifestazioni mucocutanee e oculari e sistemiche ricorrenti,Cronica
75,Granulomatosi con poliangioite (GPA/Wegener) cronica con coinvolgimento renale e respiratorio,Cronica
76,Poliarterite nodosa cronica con coinvolgimento multiorgano,Cronica
77,Arterite a cellule giganti (arterite temporale) cronica con rischio di cecità e complicanze vascolari,Cronica
78,Malattia di Kawasaki cronica con complicanze cardiache (aneurismi coronarici),Cronica
79,Sindrome di Marfan con coinvolgimento scheletrico e oculare e cardiovascolare progressivo,Cronica
80,Sindrome di Ehlers-Danlos cronica con ipermobilità articolare e fragilità cutanea e complicanze vascolari,Cronica
81,Emorragia cerebrale massiva,Mortale
82,Infarto miocardico acuto esteso,Mortale
83,Dissezione aortica tipo A,Mortale
84,Shock settico,Mortale
85,Arresto cardiaco refrattario,Mortale
86,Embolia polmonare massiva,Mortale
87,Peritonite acuta diffusa con sepsi,Mortale
88,Insufficienza respiratoria acuta grave (ARDS),Mortale
89,Stato di male epilettico refrattario,Mortale
90,Rabdomiolisi severa con insufficienza renale acuta,Mortale
91,Meningite fulminante,Mortale
92,Encefalite virale grave,Mortale
93,Pancreatite acuta necrotico-emorragica,Mortale
94,Sindrome di Stevens-Johnson/Necrolisi epidermica tossica estesa,Mortale
95,Ustioni di terzo grado su oltre il 70% della superficie corporea,Mortale
96,Trauma cranico grave con ematoma subdurale acuto,Mortale
97,Lesione spinale alta con tetraplegia completa,Mortale
98,Rottura di aneurisma cerebrale con emorragia subaracnoidea massiva,Mortale
99,Tamponamento cardiaco acuto,Mortale
100,Pneumotorace iperteso bilaterale,Mortale